aX,aY,aZ
-0.725,0.775,-0.372
-0.761,1.347,-0.29
-0.665,1.633,0.135
-0.543,1.649,0.616
-0.512,1.408,0.896
-0.667,1.387,1.115
-0.806,1.483,1.167
-1.081,1.741,1.104
-1.233,2.328,1.033
-1.27,2.927,0.953
-1.317,3.195,0.947
-1.31,3.56,1.082
-1.287,3.695,1.297
-1.158,3.874,1.397
-1.078,3.875,1.673
-0.739,3.738,1.982
-0.285,3.455,2.124
-0.046,2.955,2.313
0.455,2.647,2.362
0.854,2.154,2.385
1.03,1.909,2.404
1.322,1.48,2.412
1.448,1.208,2.447
1.665,1.105,2.5
1.74,0.96,2.509
1.719,0.861,2.505
1.576,0.83,2.468
1.309,0.802,2.453
1.144,0.828,2.454
0.792,0.925,2.443
0.491,1.081,2.428
0.291,1.208,2.393
-0.027,1.263,2.268
-0.319,1.319,2.133
-0.504,1.423,2.092
-0.65,1.496,1.937
-0.699,1.456,1.738
-0.761,1.429,1.641
-0.846,1.628,1.505
-0.81,1.548,1.317
-0.826,1.57,1.067
-0.803,1.526,0.968
-0.844,1.487,0.832
-0.872,1.482,0.682
-0.901,1.464,0.643
-0.902,1.437,0.61
-0.888,1.392,0.59
-0.826,1.186,0.601
-0.814,1.17,0.622
-0.745,1.104,0.692
-0.621,0.959,0.751
-0.544,0.76,0.882
-0.403,0.745,0.932
-0.346,0.601,0.972
-0.345,0.533,0.979
-0.361,0.428,0.978
-0.393,0.369,0.959
-0.411,0.339,0.924
-0.435,0.307,0.91
-0.457,0.276,0.891
-0.465,0.245,0.87
-0.461,0.225,0.841
-0.445,0.171,0.816
-0.428,0.111,0.798
-0.39,0.025,0.751
-0.366,-0.068,0.696
-0.323,-0.113,0.664
-0.305,-0.162,0.617
-0.239,-0.188,0.642
-0.22,-0.32,0.625
-0.211,-0.316,0.61
-0.16,-0.364,0.616
-0.135,-0.385,0.651
-0.097,-0.395,0.652
-0.057,-0.484,0.667
-0.043,-0.535,0.704
-0.004,-0.569,0.745
0.016,-0.568,0.759
0.016,-0.638,0.776
0.05,-0.678,0.834
0.044,-0.618,0.849
0.4,-0.8,0.873
0.442,-0.81,0.856
0.456,-0.815,0.84
0.481,-0.802,0.831
0.49,-0.824,0.819
0.49,-0.846,0.817
0.491,-0.877,0.81
0.481,-0.887,0.796
0.468,-0.908,0.775
0.418,-0.813,0.795
0.414,-0.816,0.811
0.397,-0.808,0.836
0.376,-0.81,0.846
0.364,-0.811,0.863
0.322,-0.806,0.872
0.269,-0.785,0.887
0.246,-0.76,0.909
0.2,-0.746,0.924
0.159,-0.713,0.934
0.141,-0.677,0.952
0.112,-0.659,0.971
0.103,-0.639,0.978
0.102,-0.63,0.991
0.098,-0.625,1.118
0.093,-0.601,1.009
0.094,-0.582,1.025
0.098,-0.541,1.032
0.106,-0.513,1.04
0.106,-0.499,1.043
0.109,-0.488,1.045
0.108,-0.47,1.053
0.107,-0.46,1.063
0.113,-0.436,1.071
0.112,-0.413,1.083
0.108,-0.4,1.101
0.103,-0.374,1.111
0.106,-0.359,1.13
0.115,-0.354,1.138
0.112,-0.336,1.146
0.114,-0.328,1.159
0.113,-0.319,1.166
0.11,-0.299,1.167
0.099,-0.287,1.154
0.082,-0.279,1.147
0.065,-0.257,1.14
0.054,-0.216,1.118
0.029,-0.196,1.111
-0.013,-0.183,1.085
-0.02,-0.141,1.067
-0.036,-0.122,1.044
-0.048,-0.11,1.019
-0.067,-0.101,1
-0.072,-0.09,0.994
-0.074,-0.084,0.984
-0.078,-0.087,0.97
-0.079,-0.086,0.968
-0.076,-0.091,0.968
-0.076,-0.093,0.968
-0.076,-0.098,0.973
-0.07,-0.1,0.983
-0.065,-0.108,0.99
-0.063,-0.119,1.006
-0.054,-0.125,1.023
-0.047,-0.139,1.032
-0.045,-0.145,1.044
-0.043,-0.143,1.058
-0.04,-0.149,1.067
-0.041,-0.147,1.076
-0.039,-0.141,1.081
-0.034,-0.143,1.079
-0.027,-0.147,1.079
-0.017,-0.163,1.063
-0.017,-0.164,1.045
-0.02,-0.157,1.035
-0.02,-0.144,1.019
-0.022,-0.142,0.999
-0.023,-0.142,0.989
-0.028,-0.135,0.974
-0.029,-0.128,0.957
-0.028,0,0.954
-0.022,-0.12,0.953
-0.018,-0.121,0.956
-0.012,-0.119,0.958
0.001,-0.116,0.966
0.012,-0.12,0.977
0.017,-0.126,0.987
0.029,-0.129,1.001
0.038,-0.003,1.018
0.056,-0.124,1.028
0.069,-0.135,1.042
0.075,-0.146,1.057
0.076,-0.147,1.071
0.078,-0.142,1.076
0.076,-0.137,1.085
0.069,-0.133,1.09
0.069,-0.134,1.092
0.068,-0.14,1.094
0.066,-0.143,1.091
0.059,-0.149,1.087
0.058,-0.151,1.083
0.048,-0.151,1.08
0.042,-0.143,1.076
0.032,-0.138,1.069
0.035,-0.135,1.065
0.034,-0.141,1.055
0.035,-0.155,1.036
0.039,-0.163,1.028
0.048,-0.179,1.009
0.049,-0.2,0.995
0.059,-0.207,0.981
0.068,-0.225,0.975
0.07,-0.244,0.965
0.078,-0.252,0.96
0.092,-0.272,0.957
0.097,-0.297,0.952
0.102,-0.307,0.949
0.102,-0.329,0.948
0.111,-0.354,0.945
0.112,-0.369,0.946
0.267,-0.786,1.016
0.304,-0.819,1.023
0.315,-0.856,1.031
0.332,-0.846,1.039
0.341,-0.967,1.031
0.355,-1.004,1.043
0.37,-1.083,1.028
0.369,-1.125,0.99
0.369,-1.163,0.972
0.364,-1.262,0.946
0.36,-1.333,0.897
0.346,-1.338,0.905
0.342,-1.385,0.877
0.343,-1.419,0.862
0.331,-1.417,0.849
0.333,-1.447,0.822
0.343,-1.49,0.854
0.341,-1.573,0.834
0.329,-1.55,0.784
0.321,-1.534,0.755
0.328,-1.596,0.754
0.335,-1.634,0.763
0.335,-1.651,0.751
0.326,-1.723,0.7
0.301,-1.75,0.645
0.264,-1.812,0.567
0.208,-1.865,0.523
0.123,-1.894,0.447
0.082,-1.878,0.373
-0.005,-1.84,0.344
-0.106,-1.727,0.315
-0.187,-1.575,0.29
-0.237,-1.386,0.287
-0.329,-1.295,0.282
-0.408,-1.092,0.281
-0.442,-0.886,0.282
-0.487,-0.782,0.288
-0.529,-0.528,0.294
-0.548,-0.259,0.309
-0.565,0.155,0.116
-0.999,0.371,-0.056
-0.909,1.258,0.055
-0.974,1.273,-0.675
-1.251,1.669,-0.494
-0.577,1.902,-0.317
-0.25,1.449,0.611
-0.409,1.338,0.837
-0.627,1.548,0.825
-0.699,1.926,0.691
-0.924,2.139,0.609
-1.12,2.764,0.543
-1.206,3.058,0.629
-1.401,3.627,0.703
-1.393,3.999,0.958
-1.322,4.233,1.245
-1.017,4.174,1.645
-0.764,4.087,1.835
-0.409,3.761,2.262
-0.252,3.297,2.548
0.099,2.936,2.678
0.454,2.317,2.809
0.64,2.089,2.948
0.994,1.628,2.96
1.193,1.261,3.097
1.535,1.112,3.167
1.646,0.998,3.27
1.759,0.938,3.219
1.631,0.85,3.147
1.487,0.891,2.994
1.148,0.944,2.925
0.966,1.058,2.731
0.56,1.113,2.445
0.133,1.278,2.286
-0.05,1.309,1.984
-0.324,1.473,1.962
-0.565,1.657,1.753
-0.59,1.606,1.637
-0.736,1.748,1.57
-0.852,1.794,1.463
-0.983,1.874,1.201
-1.022,1.859,1.016
-1.108,1.772,0.804
-1.176,1.668,0.711
-1.205,1.635,0.59
-1.2,1.597,0.574
-1.195,1.515,0.547
-1.159,1.422,0.565
-1.131,1.342,0.575
-1.009,1.224,0.651
-0.92,1.112,0.742
-0.77,0.903,0.795
-0.655,0.809,0.904
-0.623,0.649,0.931
-0.599,0.56,0.925
-0.589,0.334,0.912
-0.539,0.213,0.926
-0.504,0.14,0.904
-0.453,0.091,0.907
-0.398,-0.043,0.904
-0.361,-0.111,0.898
-0.294,-0.134,0.87
-0.259,-0.194,0.84
-0.235,-0.251,0.779
-0.232,-0.146,0.741
-0.242,-0.28,0.713
-0.235,-0.359,0.677
-0.356,-0.379,0.595
-0.251,-0.377,0.63
-0.201,-0.405,0.633
-0.178,-0.457,0.627
-0.171,-0.621,0.644
-0.129,-0.58,0.7
-0.079,-0.652,0.733
-0.053,-0.659,0.791
0.023,-0.696,0.851
0.097,-0.712,0.874
0.129,-0.782,0.936
0.206,-0.788,0.996
0.268,-0.806,1.011
0.334,-0.819,1.059
0.418,-0.814,1.07
0.452,-0.816,1.067
0.513,-0.823,1.071
0.539,-0.824,1.043
0.56,-0.853,1.011
0.565,-0.885,0.994
0.558,-0.855,0.946
0.535,-0.853,0.901
0.519,-0.828,0.878
0.493,-0.779,0.854
0.459,-0.798,0.834
0.407,-0.804,0.813
0.385,-0.786,0.795
0.355,-0.752,0.795
0.339,-0.714,0.799
0.311,-0.691,0.795
0.31,-0.691,0.791
0.318,-0.705,0.787
0.317,-0.692,0.774
0.321,-0.683,0.779
0.339,-0.677,0.788
0.368,-0.672,0.797
0.386,-0.669,0.817
0.419,-0.67,0.828
0.447,-0.661,0.833
0.459,-0.657,0.85
0.48,-0.656,0.872
0.492,-0.657,0.881
0.487,-0.63,0.913
0.486,-0.596,0.929
0.483,-0.6,0.971
0.43,-0.599,1.008
0.382,-0.557,1.021
0.349,-0.552,1.066
0.322,-0.48,1.082
0.255,-0.461,1.13
0.202,-0.443,1.142
0.176,-0.439,1.17
0.126,-0.429,1.181
0.083,-0.391,1.189
0.064,-0.265,1.181
0.018,-0.335,1.174
-0.011,-0.311,1.16
-0.047,-0.291,1.134
-0.059,-0.261,1.092
-0.076,-0.245,1.042
-0.077,-0.221,1.019
-0.077,-0.203,0.97
-0.075,-0.192,0.923
-0.072,-0.166,0.9
-0.073,-0.138,0.859
-0.07,-0.124,0.83
-0.058,-0.109,0.821
-0.042,-0.094,0.813
-0.035,-0.093,0.811
-0.015,-0.095,0.815
0,-0.107,0.825
0.007,-0.108,0.839
0.011,-0.102,0.877
0.006,-0.106,0.907
0,-0.117,0.923
-0.003,-0.125,0.956
-0.015,-0.127,0.983
-0.036,-0.124,1
-0.056,-0.121,1.01
-0.062,-0.114,1.029
-0.067,-0.11,1.037
-0.072,-0.107,1.044
-0.076,-0.111,1.042
-0.08,-0.109,1.045
-0.079,-0.104,1.052
-0.065,-0.094,1.063
-0.043,-0.09,1.069
-0.02,-0.102,1.066
-0.001,-0.107,1.064
0.018,-0.103,1.069
0.032,-0.097,1.077
0.045,-0.083,1.094
0.068,-0.082,1.105
0.087,-0.093,1.11
0.097,-0.103,1.117
0.103,-0.107,1.125
0.113,-0.108,1.134
0.121,-0.119,1.135
0.118,-0.132,1.132
0.111,-0.141,1.129
0.107,-0.142,1.133
0.096,-0.143,1.126
0.08,-0.151,1.125
0.069,-0.166,1.127
0.055,-0.171,1.13
0.034,-0.175,1.129
0.023,-0.172,1.128
0.005,-0.171,1.001
-0.012,-0.172,1.114
-0.021,-0.169,1.1
-0.04,-0.163,1.091
-0.049,-0.154,1.079
-0.052,-0.151,1.063
-0.041,-0.154,1.052
-0.029,-0.161,1.031
-0.013,-0.158,1.014
-0.001,-0.142,0.999
0.006,-0.128,0.988
0.024,-0.123,0.988
0.038,-0.118,0.99
0.052,-0.115,0.994
0.057,-0.106,1
0.063,-0.101,1.001
0.068,-0.105,1.002
0.072,-0.115,0.998
0.079,-0.122,0.996
0.078,-0.136,0.993
0.079,-0.141,0.996
0.08,-0.144,1.002
0.083,-0.155,1.005
0.085,-0.17,1.014
0.082,-0.179,1.019
0.259,-0.871,0.881
0.276,-0.917,0.751
0.285,-0.963,0.865
0.291,-1.004,0.856
0.307,-1.027,0.845
0.325,-1.074,0.839
0.342,-1.135,0.835
0.351,-1.195,0.837
0.368,-1.214,0.84
0.381,-1.193,0.834
0.372,-1.371,0.81
0.372,-1.41,0.803
0.379,-1.444,0.794
0.379,-1.464,0.778
0.377,-1.477,0.769
0.368,-1.492,0.765
0.356,-1.521,0.756
0.348,-1.532,0.741
0.327,-1.554,0.73
0.314,-1.572,0.701
0.294,-1.588,0.675
0.277,-1.638,0.66
0.269,-1.703,0.623
0.25,-1.729,0.581
0.222,-1.762,0.558
0.205,-1.76,0.519
0.173,-1.744,0.49
0.138,-1.687,0.475
0.099,-1.597,0.447
0.078,-1.48,0.428
0.036,-1.34,0.422
0.01,-1.27,0.441
-0.003,-1.152,0.448
-0.049,-1.014,0.443
-0.118,-0.831,0.429
-0.157,-0.609,0.396
-0.236,-0.497,0.358
-0.505,-0.271,0.244
-0.595,0.386,0.059
-0.506,0.612,0.24
-0.793,0.879,-0.219
-0.924,1.549,-0.065
-0.568,1.811,0.332
-0.438,2.223,0.408
-0.47,2.155,0.511
-0.377,1.87,0.81
-0.642,1.651,0.795
-0.783,1.755,0.882
-1.038,1.958,0.946
-1.295,2.609,0.943
-1.439,2.966,1.022
-1.675,3.506,1.144
-1.728,3.935,1.518
-1.68,4.01,1.861
-1.451,3.951,2.092
-1.122,3.613,2.151
-0.953,3.135,2.233
-0.508,2.799,2.367
-0.044,2.238,2.286
0.193,1.77,2.34
0.622,1.757,2.388
1.081,1.53,2.497
1.135,1.43,2.529
1.304,1.25,2.548
1.331,1.091,2.552
1.251,1.044,2.552
1.037,1.001,2.536
0.883,1.016,2.492
0.574,1.056,2.455
0.402,1.131,2.377
0.05,1.18,2.275
-0.286,1.218,2.199
-0.533,1.259,2.182
-0.648,1.366,2.124
-0.802,1.41,2.083
-0.904,1.484,2.061
-0.978,1.559,1.965
-1.021,1.569,1.805
-1.07,1.561,1.726
-1.121,1.581,1.55
-1.139,1.581,1.364
-1.179,1.596,1.21
-1.176,1.588,1.143
-1.118,1.572,1.105
-1.092,1.529,1.065
-1.03,1.504,1.062
-0.955,1.444,1.068
-0.843,1.246,1.078
-0.743,1.208,1.083
-0.675,1.032,1.092
-0.571,0.961,1.083
-0.456,0.83,1.101
-0.408,0.678,1.117
-0.365,0.604,1.083
-0.37,0.428,1.052
-0.381,0.3,0.993
-0.401,0.255,0.961
-0.405,0.169,0.888
-0.385,0.124,0.811
-0.349,0.059,0.773
-0.319,-0.037,0.701
-0.309,-0.214,0.645
-0.285,-0.179,0.627
-0.249,-0.283,0.594
-0.229,-0.337,0.565
-0.182,-0.412,0.548
-0.129,-0.554,0.559
-0.043,-0.636,0.602
0.015,-0.679,0.63
0.074,-0.718,0.642
0.099,-0.737,0.658
0.142,-0.743,0.666
0.199,-0.755,0.667
0.258,-0.798,0.681
0.291,-0.805,0.707
0.344,-0.828,0.712
0.379,-0.86,0.719
0.447,-0.88,0.727
0.499,-0.921,0.73
0.537,-0.939,0.731
0.559,-0.964,0.711
0.601,-1.037,0.715
0.591,-1.044,0.71
0.613,-1.1,0.686
0.626,-1.113,0.672
0.626,-1.126,0.673
0.631,-1.122,0.684
0.646,-1.139,0.707
0.664,-1.121,0.709
0.675,-1.146,0.739
0.697,-1.161,0.752
0.71,-1.164,0.769
0.716,-1.166,0.806
0.711,-1.138,0.826
0.7,-1.125,0.848
0.677,-1.11,0.902
0.616,-1.046,0.936
0.561,-1.004,0.96
0.474,-0.951,0.972
0.369,-0.947,1.007
0.319,-0.942,1.026
0.217,-0.837,1.04
0.152,-0.788,1.078
0.117,-0.726,1.091
0.047,-0.699,1.086
-0.019,-0.636,1.071
-0.075,-0.577,1.06
-0.119,-0.517,1.026
-0.138,-0.46,0.987
-0.167,-0.435,0.941
-0.18,-0.382,0.881
-0.183,-0.317,0.849
-0.168,-0.27,0.798
-0.156,-0.246,0.75
-0.121,-0.208,0.724
-0.075,-0.197,0.68
-0.05,-0.196,0.66
0,-0.197,0.654
0.053,-0.197,0.66
0.079,-0.193,0.688
0.123,-0.192,0.725
0.148,-0.188,0.87
0.165,-0.186,0.787
0.173,-0.193,0.826
0.18,-0.2,0.85
0.171,-0.209,0.858
0.159,-0.206,0.868
0.129,-0.201,0.871
0.095,-0.192,0.874
0.058,-0.178,0.882
0.035,-0.152,0.893
-0.003,-0.142,0.91
-0.037,-0.117,0.927
-0.068,-0.084,0.935
-0.09,-0.06,0.949
-0.099,-0.051,0.953
-0.108,-0.048,0.957
-0.12,-0.031,0.974
-0.116,-0.007,0.986
-0.104,0.009,1.005
-0.091,0.013,1.021
-0.062,0.007,1.029
-0.034,-0.003,1.052
-0.021,0.001,1.074
0.012,0.009,1.092
0.033,0.019,1.131
0.066,0.02,1.157
0.092,0.012,1.168
0.101,-0.124,1.176
0.111,-0.016,1.183
0.241,-0.018,1.165
0.126,-0.042,1.179
0.102,-0.074,1.196
0.116,-0.052,1.183
0.128,-0.049,1.179
0.122,-0.076,1.18
0.112,-0.087,1.177
0.117,-0.094,1.174
0.11,-0.099,1.158
0.087,-0.102,1.137
0.078,-0.099,1.122
0.054,-0.081,1.112
0.024,-0.068,1.095
-0.001,-0.057,1.088
-0.009,-0.052,1.067
-0.026,-0.047,1.05
-0.035,-0.044,1.049
-0.033,-0.029,1.053
-0.032,-0.007,1.068
-0.032,0.004,1.082
-0.016,0.015,1.089
0.117,0,1.089
0.01,-0.013,1.088
0.023,-0.031,1.089
0.032,-0.046,1.091
0.042,-0.05,1.095
0.047,-0.055,1.097
0.05,-0.06,1.097
0.051,-0.073,1.093
0.049,-0.09,1.085
0.036,-0.097,1.079
0.027,-0.101,1.077
0.024,-0.107,1.081
0.019,-0.113,1.082
0.012,-0.132,1.081
-0.007,-0.134,1.075
-0.024,-0.126,1.071
-0.032,-0.123,1.062
-0.036,-0.125,1.047
-0.041,-0.131,1.039
-0.047,-0.125,1.02
-0.046,-0.112,1.01
-0.039,-0.109,0.996
-0.021,-0.106,0.976
-0.011,-0.104,0.963
0.001,-0.099,0.957
0.008,-0.09,0.958
0.022,-0.081,0.961
0.345,-0.963,0.732
0.347,-1.053,0.699
0.353,-1.13,0.706
0.362,-1.176,0.725
0.32,-1.205,0.714
0.301,-1.228,0.747
0.297,-1.274,0.772
0.291,-1.293,0.819
0.268,-1.273,0.857
0.292,-1.276,0.831
0.297,-1.271,0.892
0.248,-1.385,0.924
0.265,-1.447,0.978
0.287,-1.434,1.015
0.31,-1.383,1.022
0.323,-1.394,1.027
0.32,-1.383,1.062
0.325,-1.407,1.076
0.332,-1.381,1.062
0.36,-1.362,1.038
0.375,-1.343,1.003
0.377,-1.333,0.976
0.384,-1.325,0.959
0.395,-1.296,0.918
0.398,-1.276,0.866
0.398,-1.22,0.841
0.38,-1.155,0.789
0.366,-1.112,0.734
0.328,-1.001,0.704
0.288,-0.883,0.64
0.264,-0.755,0.58
0.226,-0.691,0.54
0.183,-0.555,0.526
0.16,-0.39,0.515
-0.182,-0.247,0.132
0.154,-0.076,0.401
-0.033,0.458,0.096
-0.351,0.326,0.038
-0.181,0.703,0.34
-0.128,1.17,0.526
-0.42,1.318,0.39
-0.625,1.688,0.349
-0.672,1.778,0.407
-0.713,1.702,0.615
-0.79,1.36,0.71
-0.877,1.321,0.868
-0.919,1.454,0.924
-0.931,1.764,0.96
-1.015,1.934,0.987
-1.048,2.277,1.045
-1.018,2.422,1.169
-1.025,2.552,1.311
-0.926,2.582,1.385
-0.854,2.512,1.564
-0.665,2.5,1.635
-0.473,2.37,1.739
-0.358,2.141,1.897
-0.074,2.169,1.955
0.211,1.976,2.087
0.351,1.884,2.22
0.595,1.718,2.284
0.709,1.59,2.378
0.877,1.53,2.462
0.983,1.373,2.49
0.996,1.252,2.479
0.983,1.208,2.456
0.898,1.141,2.402
0.836,1.12,2.382
0.674,1.121,2.348
0.593,1.141,2.286
0.435,1.133,2.212
0.204,1.245,2.155
0.12,1.161,2.005
-0.064,1.18,1.948
-0.231,1.195,1.804
-0.303,1.189,1.723
-0.43,1.239,1.693
-0.476,1.298,1.618
-0.572,1.317,1.536
-0.662,1.377,1.504
-0.716,1.399,1.41
-0.791,1.387,1.305
-0.827,1.328,1.203
-0.858,1.307,1.108
-0.875,1.243,1.081
-0.867,1.193,1.007
-0.852,1.158,0.94
-0.825,1.082,0.929
-0.803,0.985,0.884
-0.732,0.922,0.891
-0.663,0.897,0.894
-0.562,0.797,0.931
-0.517,0.748,0.971
-0.463,0.673,0.976
-0.44,0.577,0.98
-0.426,0.53,0.951
-0.425,0.463,0.931
-0.42,0.4,0.895
-0.387,0.379,0.872
-0.329,0.325,0.863
-0.292,0.236,0.841
-0.202,0.189,0.826
-0.035,0.082,0.8
-0.086,-0.001,0.759
-0.008,-0.139,0.741
0.093,-0.233,0.768
0.132,-0.32,0.751
0.186,-0.369,0.736
0.214,-0.443,0.724
0.224,-0.592,0.716
0.238,-0.547,0.721
0.227,-0.573,0.726
0.221,-0.549,0.711
0.176,-0.55,0.709
0.123,-0.506,0.699
0.103,-0.61,0.705
0.049,-0.528,0.716
0.024,-0.537,0.743
0.031,-0.57,0.752
0.302,-0.826,0.96
0.402,-0.854,1.001
0.508,-0.918,1.034
0.548,-0.951,1.086
0.631,-0.964,1.099
0.704,-0.995,1.102
0.737,-1.042,1.127
0.773,-1.005,1.143
0.813,-1.047,1.171
0.815,-1.056,1.202
0.788,-1.038,1.209
0.769,-1.055,1.205
0.743,-1.074,1.228
0.665,-1.021,1.226
0.63,-1.017,1.22
0.542,-1.011,1.219
0.449,-0.989,1.226
0.404,-0.963,1.21
0.314,-0.913,1.201
0.261,-0.873,1.197
0.14,-0.842,1.179
0.027,-0.77,1.167
-0.025,-0.678,1.136
-0.12,-0.632,1.094
-0.199,-0.55,1.039
-0.256,-0.476,1.009
-0.296,-0.411,0.92
-0.306,-0.378,0.835
-0.316,-0.327,0.791
-0.314,-0.289,0.697
-0.297,-0.271,0.612
-0.249,-0.271,0.542
-0.212,-0.155,0.567
-0.142,-0.09,0.5
-0.061,-0.099,0.542
-0.027,-0.124,0.612
0.017,0,0.643
0.099,-0.112,0.67
0.143,-0.126,0.722
0.16,-0.153,0.783
0.188,-0.159,0.806
0.209,-0.172,0.863
0.213,-0.18,0.908
0.213,-0.173,0.953
0.194,-0.19,0.966
0.176,-0.197,0.985
0.14,-0.19,1.005
0.102,-0.157,1.011
0.077,-0.122,1.015
0.032,-0.105,1.001
-0.013,-0.076,0.995
-0.038,-0.059,0.984
-0.079,-0.019,0.981
-0.103,0.012,0.977
-0.113,0.031,0.976
-0.126,0.039,0.979
-0.129,0.057,0.984
-0.127,0.067,0.998
-0.112,0.068,1.014
-0.082,0.068,1.023
-0.065,0.064,1.05
-0.03,0.06,1.065
0.004,0.049,1.098
0.023,0.047,1.129
0.062,0.04,1.144
0.079,0.028,1.176
0.108,0.021,1.191
0.122,0.01,1.219
0.128,0.011,1.246
0.129,0.01,1.252
0.127,0.008,1.263
0.124,0.007,1.272
0.122,0.003,1.284
0.113,0.002,1.285
0.097,-0.002,1.281
0.085,-0.001,1.27
0.059,0,1.262
0.048,0.004,1.243
0.03,0.005,1.219
0.014,0.009,1.205
0.007,0.015,1.175
-0.009,0.034,1.161
-0.011,0.05,1.134
-0.013,0.053,1.099
-0.013,0.059,1.08
-0.013,0.061,1.047
-0.008,0.066,1.03
0.124,0.062,1.002
0.013,0.06,0.977
0.027,0.058,0.967
0.035,0.052,0.957
0.05,0.047,0.955
0.064,0.03,0.95
0.065,0.026,0.954
0.064,0.015,0.955
0.063,0.005,0.963
0.066,-0.001,0.976
0.063,-0.011,0.984
0.061,-0.02,1.004
0.06,-0.023,1.013
0.051,-0.029,1.026
0.044,-0.025,1.044
0.032,-0.022,1.054
0.028,-0.017,1.078
0.023,-0.014,1.099
0.02,-0.013,1.106
0.017,-0.015,1.113
0.014,-0.012,1.114
0.018,-0.009,1.111
0.023,-0.012,1.094
0.028,-0.023,1.083
0.03,-0.027,1.075
0.042,-0.029,1.068
0.052,-0.033,1.064
0.059,-0.03,1.063
0.078,-0.037,1.061
0.088,-0.045,1.057
0.104,-0.052,1.052
0.114,-0.068,1.048
0.415,-0.927,0.705
0.437,-0.974,0.666
0.454,-1.074,0.647
0.454,-1.168,0.614
0.449,-1.212,0.591
0.437,-1.292,0.586
0.426,-1.355,0.583
0.405,-1.379,0.59
0.38,-1.408,0.599
0.366,-1.428,0.621
0.336,-1.441,0.643
0.308,-1.471,0.651
0.293,-1.507,0.669
0.259,-1.532,0.688
0.227,-1.589,0.699
0.21,-1.655,0.712
0.181,-1.699,0.709
0.149,-1.806,0.696
0.128,-1.863,0.667
0.099,-1.878,0.631
0.043,-2.103,0.631
0.022,-2.17,0.643
-0.017,-2.146,0.653
-0.046,-2.084,0.667
-0.052,-1.998,0.729
-0.045,-1.945,0.805
-0.02,-1.846,0.841
-0.007,-1.745,0.897
0.012,-1.61,0.931
0.002,-1.535,0.932
-0.033,-1.324,0.928
-0.055,-1.076,0.892
-0.104,-0.814,0.828
-0.176,-0.655,0.792
-0.264,-0.383,0.727
-0.313,0.008,0.662
-0.44,0.21,0.613
-1.049,1.015,0.194
-0.862,1.796,0.085
-0.959,1.994,-0.555
-1.197,2.092,-0.569
-0.52,2.021,0.274
-0.608,1.958,0.862
-0.876,2.215,0.827
-0.976,2.824,0.687
-1.131,3.085,0.686
-1.173,3.565,0.779
-1.157,3.824,1.157
-1.067,3.921,1.411
-0.928,3.873,1.869
-0.851,3.883,2.24
-0.595,3.868,2.408
-0.422,3.547,2.714
0.019,3.382,2.934
0.51,2.933,2.996
0.709,2.426,3.001
1.056,2.176,2.958
1.198,1.81,2.821
1.409,1.652,2.698
1.505,1.397,2.643
1.507,1.263,2.487
1.399,1.264,2.395
1.174,1.318,2.258
1.011,1.399,2.136
0.658,1.431,2.063
0.472,1.583,1.859
-0.011,1.582,1.702
-0.186,1.464,1.499
-0.529,1.462,1.314
-0.769,1.391,1.247
-0.888,1.343,1.187
-0.924,1.364,1.126
-0.954,1.356,1.095
-0.96,1.293,1.043
-0.966,1.255,0.965
-0.955,1.155,0.915
-0.939,1.097,0.845
-0.912,1.062,0.762
-0.892,0.962,0.71
-0.888,0.901,0.614
-0.868,0.889,0.59
-0.838,0.863,0.56
-0.813,0.84,0.568
-0.725,0.766,0.594
-0.662,0.646,0.679
-0.533,0.582,0.768
-0.448,0.439,0.805
-0.423,0.305,0.872
-0.404,0.267,0.931
-0.385,0.19,0.966
-0.38,0.182,1.013
-0.41,0.076,1.016
-0.454,0.011,1.031
-0.463,-0.008,1.047
-0.48,-0.035,1.05
-0.616,-0.072,1.034
-0.508,-0.08,1.004
-0.496,-0.144,0.98
-0.495,-0.168,0.974
-0.489,-0.225,0.94
-0.477,-0.241,0.92
-0.436,-0.282,0.926
-0.401,-0.318,0.917
-0.362,-0.383,0.91
-0.344,-0.4,0.912
-0.305,-0.415,0.91
-0.266,-0.426,0.912
-0.249,-0.441,0.94
-0.191,-0.454,0.961
-0.145,-0.452,0.993
-0.124,-0.509,1.026
-0.085,-0.52,1.039
-0.05,-0.527,1.063
-0.032,-0.501,1.106
-0.047,-0.549,1.045
-0.013,-0.507,1.142
-0.004,-0.442,1.132
0.001,-0.443,1.115
0.026,-0.5,1.1
0.494,-0.645,0.895
0.534,-0.652,0.871
0.556,-0.659,0.851
0.595,-0.662,0.838
0.636,-0.661,0.834
0.656,-0.66,0.833
0.674,-0.659,0.842
0.675,-0.647,0.85
0.675,-0.629,0.878
0.669,-0.609,0.911
0.668,-0.595,0.911
0.65,-0.625,0.966
0.568,-0.627,1.001
0.51,-0.582,1.011
0.488,-0.535,1.031
0.427,-0.524,1.066
0.346,-0.493,1.088
0.307,-0.447,1.111
0.237,-0.42,1.12
0.205,-0.4,1.162
0.13,-0.37,1.159
0.08,-0.347,1.165
0.015,-0.281,1.16
-0.006,-0.27,1.134
-0.048,-0.258,1.109
-0.075,-0.24,1.05
-0.082,-0.227,0.992
-0.095,-0.201,0.963
-0.1,-0.165,0.908
-0.096,-0.135,0.849
-0.081,-0.124,0.822
-0.053,-0.109,0.77
-0.038,-0.1,0.732
0,-0.096,0.723
